timestamp,RED,IR,GREEN
1772597788.825000,770650.000000,1168878.000000,-6343.000000
1772597788.865000,770921.000000,1169095.000000,-6043.000000
1772597788.905000,771083.000000,1169399.000000,-5716.000000
1772597788.945000,771047.000000,1169406.000000,-5394.000000
1772597788.985000,770985.000000,1169329.000000,-4970.000000
1772597789.025000,770883.000000,1169387.000000,-4550.000000
1772597789.065000,771007.000000,1169547.000000,-4059.000000
1772597789.105000,771224.000000,1169811.000000,-3517.000000
1772597789.145000,771385.000000,1170094.000000,-2950.000000
1772597789.185000,771567.000000,1170273.000000,-2392.000000
1772597789.225000,771686.000000,1170520.000000,-1768.000000
1772597789.265000,771881.000000,1170693.000000,-1126.000000
1772597789.305000,771806.000000,1170527.000000,-952.000000
1772597789.345000,771626.000000,1169915.000000,-1834.000000
1772597789.385000,771357.000000,1169409.000000,-3222.000000
1772597789.425000,771318.000000,1169239.000000,-4420.000000
1772597789.465000,771580.000000,1169366.000000,-5358.000000
1772597789.505000,771579.000000,1169369.000000,-6126.000000
1772597789.545000,771696.000000,1169535.000000,-6673.000000
1772597789.585000,772039.000000,1169958.000000,-7402.000000
1772597789.625000,772051.000000,1169956.000000,-7817.000000
1772597789.665000,772002.000000,1169831.000000,-8157.000000
1772597789.705000,772141.000000,1169962.000000,-8472.000000
1772597789.745000,772304.000000,1170265.000000,-8489.000000
1772597789.785000,772304.000000,1170308.000000,-8470.000000
1772597789.825000,772350.000000,1170334.000000,-8338.000000
1772597789.865000,772337.000000,1170350.000000,-8043.000000
1772597789.905000,772290.000000,1170342.000000,-7824.000000
1772597789.945000,772268.000000,1170315.000000,-7613.000000
1772597789.985000,772162.000000,1170330.000000,-7309.000000
1772597790.025000,772260.000000,1170413.000000,-6962.000000
1772597790.065000,772233.000000,1170454.000000,-6461.000000
1772597790.105000,772200.000000,1170494.000000,-6046.000000
1772597790.145000,772259.000000,1170548.000000,-5582.000000
1772597790.185000,772411.000000,1170731.000000,-4974.000000
1772597790.225000,772461.000000,1170942.000000,-4481.000000
1772597790.265000,772509.000000,1170998.000000,-3869.000000
1772597790.305000,772360.000000,1170627.000000,-3620.000000
1772597790.345000,772074.000000,1169899.000000,-4502.000000
1772597790.385000,771853.000000,1169314.000000,-5920.000000
1772597790.425000,771837.000000,1169163.000000,-7235.000000
1772597790.465000,771761.000000,1169121.000000,-8329.000000
1772597790.505000,771743.000000,1169008.000000,-9139.000000
1772597790.545000,771705.000000,1169002.000000,-9874.000000
1772597790.617000,771684.000000,1168979.000000,-10325.000000
1772597790.657000,771632.000000,1168839.000000,-10713.000000
1772597790.697000,771498.000000,1168672.000000,-11281.000000
1772597790.737000,771587.000000,1168714.000000,-11730.000000
